date,calories,smoothed_weight_lbs,fm_lbs_weak,ffm_lbs_weak,weight_pred_lbs,fat_pct_weak,tdee_weak
2011-04-20,1782,,92.91,167.74,260.65,35.64,2174.0
2011-04-21,1649,261.16,92.79,167.8,260.6,35.61,2175.5
2011-04-22,2153,,92.64,167.19,259.83,35.65,2169.5
2011-04-23,1703,259.46,92.64,166.79,259.42,35.71,2165.6
2011-04-24,3158,,92.5,166.85,259.36,35.67,2166.5
2011-04-25,1426,,92.79,167.24,260.03,35.68,2170.4
2011-04-26,1882,,92.57,167.25,259.82,35.63,2170.6
2011-04-27,1542,260.68,92.49,165.49,257.98,35.85,2157.0
2011-04-28,1669,,92.31,159.89,252.2,36.6,2149.9
2011-04-29,1515,,92.15,158.45,250.6,36.77,2135.7
2011-04-30,2117,,91.95,159.27,251.22,36.6,2144.0
2011-05-01,2290,,91.92,161.07,252.98,36.33,2162.1
2011-05-02,1432,,91.93,163.05,254.98,36.05,2182.0
2011-05-03,1381,,91.69,164.75,256.44,35.75,2199.0
2011-05-04,1678,257.58,91.43,165.8,257.23,35.54,2210.1
2011-05-05,2288,256.9,91.25,165.8,257.06,35.5,2210.1
2011-05-06,2284,,91.25,165.62,256.86,35.52,2208.3
2011-05-07,2268,,91.24,165.38,256.63,35.56,2206.1
2011-05-08,1876,,91.24,165.18,256.41,35.58,2204.1
2011-05-09,3661,,91.12,165.02,256.14,35.57,2202.8
2011-05-10,2533,,91.51,164.93,256.44,35.68,2201.9
2011-05-11,1955,,91.58,164.88,256.46,35.71,2201.5
2011-05-12,3170,,91.48,164.85,256.33,35.69,2201.4
2011-05-13,3105,,91.73,164.83,256.56,35.75,2201.2
2011-05-14,3492,,91.96,164.77,256.74,35.82,2200.8
2011-05-15,2352,,92.31,164.66,256.96,35.92,2199.7
2011-05-16,3122,,92.32,164.45,256.78,35.96,2197.8
2011-05-17,2809,,92.56,164.13,256.69,36.06,2194.7
2011-05-18,2379,,92.71,163.69,256.4,36.16,2190.4
